afghan	Afghanistan
africain	Afrique
algérien	Algérie
américain	États-Unis
angolais	Angola
argentin	Argentine
asiatique	Asie
australien	Australie
autrichien	Autriche
bangladais	Bangladesh
biélorusse	Biélorussie
belge	Belgian
bolivien	Bolivie
bosnien	Bosnie-Herzégovine
brésilien	Brésil
britanique	Royaume-Uni
bulgare	Bulgarie
cambodgien	Cambodge
camerounais	Cameroun
canadien	Canada
central_African	Afrique
central_American	États-Unis
tchadien	Tchad
chinois	Chine
colombien	Colombie
congolais	Congo
costaricain	Costa_Rica
croate	Croatie
tchèque	République_tchèque
danois	Danemark
néerlandais	Pays-Bas
équatorien	Équateur_(pays)
égyptien	Égypte
emirati	Émirats_arabes_unis
anglais	Royaume-Uni
estonien	Estonie
éthiopien	Éthiopie
finlandais	Finlande
français	France
allemand	Allemagne
ghanéen	Ghana
grec	Grèce
guatémaltèque	Guatemala
hondurien	Honduras
hongrois	Hongrie
islandais	Islande
indien	Inde
indonésien	Indonésie
iranien	Iran
irakien	Irak
irlandais	Irlande_(île)
israélien	Israël
italien	Italie
ivoirien	Côte_d'Ivoire
jamaïquain	Jamaïque
japonais	Japon
jordanien	Jordanie
kazakh	Kazakhstan
kenyan	Kenya
lao	Laos
letton	Lettonie
libyen	Libye
lituanien	Lituanie
malgache	Madagascar
malaisien	Malaisie
mauritanien	Mauritanie
mexicain	Mexique
marocain	Maroc
namibie	Namibie
nouvelle-Zélande	Nouvelle-Zélande
nicaraguayen	Nicaragua
nigérian	Nigeria
nigerien	Nigeria
north_African	Afrique
norvégien	Norvège
oman	Oman
pakistanais	Pakistan
panaméen	Panama
paraguayen	Paraguay
péruvien	Pérou
philippine	Philippines
polonais	Pologne
portugais	Portugal
roumain	Roumanie
russe	Russie
salvadorien	Salvador
saoudien	Saudi
arabie saoudite	Saudi_Arabian
écossais	Écosse
sénégalais	Sénégal
serbe	Serbie
singapourien	Singapour
slovaque	Slovaquie
somalien	Somalie
sud africain	Afrique
sud américain	South_American
asie du Sud-Est	Asie
espanol	Espagne
soudanais	Soudan
suédois	Suède
suisse	Suisse
syrien	Syrie
thaïlandais	Thaïlande
tunisien	Tunisie
turc	Turquie
turkmène	Turkménistan
ukranian	Ukraine
uruguayen	Uruguay
vietnamien	Viêt_Nam
gallois	Pays_de_Galles
zambien	Zambie
zimbabwéen	Zimbabwe
