Aalen	Aalen is a former Free Imperial City located in the eastern part of the German state of Baden-Württemberg, about 70 km east of Stuttgart and 48 km north of Ulm.
Aarau	Aarau is a town, a municipality, and the capital of the northern Swiss canton of Aargau.
Aare	The Aare or Aar is a tributary of the High Rhine and the longest river that both rises and ends entirely within Switzerland.
Abadeh	Abadeh is a city in and the capital of Abadeh County, in Fars Province, Iran.
Abakan	Abakan is the capital city of the Republic of Khakassia, Russia, located in the central part of Minusinsk Depression, at the confluence of the Yenisei and Abakan Rivers.
Abano_Terme	Abano Terme is a town and comune in the province of Padua, in the Veneto region, Italy, on the eastern slope of the Colli Euganei; it is 10 km southwest by rail from Padua.
Abbas_Mirza	Abbas Mirza, was a Qajar crown prince of Persia.
Abbotsford_House	Abbotsford is a historic country house in the Scottish Borders, near Melrose, on the south bank of the River Tweed.
Abdul_Rashid_Dostum	Abdul Rashid Dostum is an Afghan politician who has served as Vice President of Afghanistan since 2014.
Abdur_Rahman_Khan	Abdur Rahman Khan was Emir of Afghanistan from 1880 to 1901.
Abel_Tasman	Abel Janszoon Tasman was a Dutch seafarer, explorer, and merchant, best known for his voyages of 1642 and 1644 in the service of the Dutch East India Company. He was the first known European explorer to reach the islands of Van Diemen's Land and New Zealand, and to sight the Fiji islands.
Aberdour	Aberdour is a scenic and historic village on the south coast of Fife, Scotland.
Abergavenny	Abergavenny is a market town in Monmouthshire, Wales.
Abersychan	Abersychan is a settlement and community north of Pontypool in Torfaen, Wales, and lies within the boundaries of the historic county of Monmouthshire and the preserved county of Gwent.
AbiWord	AbiWord is a free and open-source software word processor written in C++.
Abner	In the Book of Samuel, Avner, was cousin to Saul and commander-in-chief of his army. He is often referred to as Avner Ben Ner, meaning, the son of Ner.
Abner_Doubleday	Abner Doubleday was a career United States Army officer and Union general in the American Civil War.
Abraham_Joshua_Heschel	Abraham Joshua Heschel was a Polish-born American rabbi and one of the leading Jewish theologians and Jewish philosophers of the 20th century.
Absalon	Absalon or Axel was a Danish archbishop and statesman, who was the Bishop of Roskilde from 1158 to 1192 and Archbishop of Lund from 1178 until his death.
Abu_Sayyaf	Abu Sayyaf is a Jihadist terror group based in and around Jolo and Basilan islands in the southwestern part of the Philippines, where for more than four decades, Moro groups have been engaged in an insurgency for an independent province in the country.
Abu_Zubaydah	Abu Zubaydah is a Saudi Arabian citizen currently held by the U.S. in the Guantanamo Bay detention camps, in Cuba.
Abydos_(Hellespont)	Abydos or Abydus, an ancient city at Troad, in Asia Minor was located on the western slope of the promontory south of Nağara Point, and is sited on the best harbor on the Asiatic shore of the Hellespont.
Acadia_University	Acadia University is a predominantly undergraduate university located in Wolfville, Nova Scotia, Canada with some graduate programs at the master's level and one at the doctoral level.
ACF_Fiorentina	ACF Fiorentina, commonly referred to as simply Fiorentina, is a professional Italian football club from Florence, Tuscany.
Achill_Island	Achill Island in County Mayo is the largest island off the coast of Ireland, and is situated off the west coast.
Action_Against_Hunger	Action Against Hunger is a global humanitarian organization committed to ending world hunger.
Actium	Actium was the name of an ancient town on a promontory of western Greece in northwestern Acarnania, at the mouth of the Ambracian Gulf). Actium is chiefly famous as the name given to the nearby naval Battle of Actium, in which Octavian won a decisive victory over Mark Antony on September 2, 31 BC. Actium is situated on the southern side of the strait opposite the later city of Nicopolis built by Octavian.
Active_Directory	Active Directory is a directory service that Microsoft developed for Windows domain networks.
Active_Server_Pages	Active Server Pages, later known as Classic ASP or ASP Classic, is Microsoft's first server-side script engine for dynamically generated web pages.
Ada_Lovelace	Augusta Ada King-Noel, Countess of Lovelace was an English mathematician and writer, chiefly known for her work on Charles Babbage's early mechanical general-purpose computer, the Analytical Engine.
Adam_Carolla	Adam Carolla is an American comedian, radio personality, television host, actor, podcaster and director.
Adam_Weishaupt	Johann Adam Weishaupt was a German philosopher and founder of the Order of the Illuminati, a secret society.
Admiralty	The Admiralty was the government department responsible for the command of the Royal Navy in the Kingdom of England, and later in Great Britain, and from 1709 and until 1964 in the United Kingdom and former British Empire.
Adobe_Systems	Adobe Systems Incorporated is an American multinational computer software company.
