Amasis_II	Amasis II or Ahmose II was a pharaoh of the Twenty-sixth dynasty of Egypt, the successor of Apries at Sais.
Ada_Lovelace	Augusta Ada King-Noel, Countess of Lovelace was an English mathematician and writer, chiefly known for her work on Charles Babbage's early mechanical general-purpose computer, the Analytical Engine.
Abbas_Mirza	Abbas Mirza, was a Qajar crown prince of Persia.
Camille_Pissarro	Camille Pissarro was a Danish-French Impressionist and Neo-Impressionist painter born on the island of St Thomas. His importance resides in his contributions to both Impressionism and Post-Impressionism.
Andrei_Sakharov	Andrei Dmitrievich Sakharov was a Russian nuclear physicist, Soviet dissident, an activist for disarmament, peace and human rights.
Aeacus	Aeacus was a mythological king of the island of Aegina in the Saronic Gulf.
Carlo_Collodi	Carlo Lorenzini, better known by the pen name Carlo Collodi, was a children's writer born in the Grand Duchy of Tuscany and writer of the world-renowned fairy tale novel The Adventures of Pinocchio.
Aedesius	Aedesius was a Neoplatonist philosopher and mystic born of a noble Cappadocian family.
Clyde_Tombaugh	Clyde William Tombaugh was an American astronomer.
August_Derleth	August William Derleth was an American writer and anthologist.
CPAN	The Comprehensive Perl Archive Network is a repository of over 250,000 software modules and accompanying documentation for 39,000 distributions, written in the Perl programming language by over 12,000 contributors.
Blazing_Saddles	Blazing Saddles is a 1974 American satirical Western comedy film directed by Mel Brooks.
Aegisthus	Aegisthus is a figure in Greek mythology.
Brigitte_Bardot	Brigitte Anne-Marie Bardot is a French actress, singer and fashion model, who later became an animal rights activist.
Albert_Camus	Albert Camus was an Algerian and French philosopher, author, and journalist based in France.
Australian_Army	The Australian Army is Australia's military land force.
Ambrosiaster	Ambrosiaster is the name given to the writer of a commentary on St Paul's epistles, "brief in words but weighty in matter," and valuable for the criticism of the Latin text of the New Testament.
Aron_Nimzowitsch	Aron Nimzowitsch was a Russian-born, Danish leading chess master and a very influential chess writer.
Ambrosius_Aurelianus	Ambrosius Aurelianus,; called Aurelius Ambrosius in the Historia Regum Britanniae and elsewhere, was a war leader of the Romano-British who won an important battle against the Anglo-Saxons in the 5th century, according to Gildas.
Hercule_Poirot	Hercule Poirot is a fictional Belgian detective, created by Dame Agatha Christie.
Ammonius_Saccas	Ammonius Saccas was a Greek philosopher from Alexandria who was often referred to as one of the founders of Neoplatonism.
Amram	In the Book of Exodus, Amram is the husband of Jochebed and father of Aaron, Moses and Miriam.
Anacharsis	Anacharsis was a Scythian philosopher who travelled from his homeland on the northern shores of the Black Sea to Athens in the early 6th century BC and made a great impression as a forthright, outspoken "barbarian".
Anaxarchus	Anaxarchus was a Greek philosopher of the school of Democritus.
Charles_Lyell	Sir Charles Lyell, 1st Baronet, was a British lawyer and the foremost geologist of his day.
Apollos	Apollos was a 1st century Alexandrian Jewish Christian mentioned several times in the New Testament.
Abdur_Rahman_Khan	Abdur Rahman Khan was Emir of Afghanistan from 1880 to 1901.
Ammianus_Marcellinus	Ammianus Marcellinus was a Roman soldier and historian who wrote the penultimate major historical account surviving from Antiquity. His work, known as the Res Gestae, chronicled in Latin the history of Rome from the accession of the emperor Nerva in 96 to the death of Valens at the Battle of Adrianople in 378, although only the sections covering the period 353–378 survive.
Bruce_Perens	Bruce Perens is an American computer programmer and advocate in the free software movement.
Aung_San_Suu_Kyi	Aung San Suu Kyi is a Burmese politician, diplomat, and author who is the First and incumbent State Counsellor and Leader of the National League for Democracy.
